"1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171407.1","187931.5","202038.1","203256.5","206361","204832","217654","220074.5","233900.4","239521.9","249656.5","254085.8","272252.7","284830.1","299891","315294.9","335436.2","354619.4","389715.4","406528.6","446133.4","463765.6","492468.1","503214.7","540521.2","565191.2","561230.9","545070.8","521256.8","523778.5","","","",
"4165563","4306048","4458516","4621655","4795130","4978922","5173237","5381026","5604582","5844843","6106191","6396658","6724260","7088758","7483506","7897544","8319556","8755219","9210564","9682002","10171710","10678211","11201154","11746020","12310361","12890245","13483349","14089798","14713715","15353227","16004763","16654276","17281350","17846461","18367528","18888857","19410280","19938377","20472580","21009660","21547390","22085929","22623415","23150847","23661808","24397644","25382870","26400068","27437353","28483797","29411929","30150945","30821543","31482498","32125564","32749848","33416270","34193122","35018133","35827362","35997107","35950396","",
